Date,Time,Close,Open,High,Low,Volume
20260918,190300,83300,83300,83300,83300,262
20260918,190400,83400,83300,83400,83300,102
20260918,190500,83300,83300,83300,83300,26
20260918,190600,83300,83300,83300,83300,67
20260918,190700,83300,83300,83300,83300,27
20260918,190800,83300,83300,83300,83300,21
20260918,190900,83300,83300,83300,83200,498
20260918,191000,83300,83300,83300,83300,0
20260918,191100,83300,83300,83300,83300,6
20260918,191200,83200,83200,83200,83200,180
20260918,191300,83200,83200,83200,83200,10
20260918,191400,83300,83300,83300,83300,226
20260918,191500,83300,83300,83300,83200,119
20260918,191600,83300,83300,83300,83300,74
20260918,191700,83300,83300,83300,83300,297
20260918,191800,83300,83300,83300,83300,73
20260918,191900,83300,83300,83300,83300,45
20260918,192000,83300,83300,83300,83300,94
20260918,192100,83300,83300,83300,83300,33
20260918,192200,83300,83300,83300,83300,111
20260918,192300,83300,83300,83300,83300,31
20260918,192400,83300,83300,83300,83300,2
20260918,192500,83200,83200,83200,83200,28
20260918,192600,83300,83300,83300,83300,4
20260918,192700,83300,83300,83300,83300,39
20260918,192800,83300,83300,83300,83300,64
20260918,192900,83300,83200,83300,83200,114
20260918,193000,83300,83300,83300,83300,50
20260918,193100,83300,83300,83300,83300,60
20260918,193200,83200,83200,83300,83200,6
20260918,193300,83300,83300,83300,83300,470
20260918,193400,83400,83400,83400,83400,21
